,numDF,denDF,F.value,p.value
(Intercept),1,623,1709.430163,0
SPEI_12_Sept,1,623,0.862268116,0.353464379
treatment,1,18,0.196745662,0.662646171
Depth2,1,18,5.838930246,0.02651871
I(SPEI_12_Sept^2),1,623,8.450058018,0.0037801
SPEI_12_Sept:treatment,1,623,0.38510125,0.535112641
SPEI_12_Sept:Depth2,1,623,0.442960202,0.50594347
treatment:Depth2,1,18,0.431574612,0.519529311
treatment:I(SPEI_12_Sept^2),1,623,0.090636038,0.763470567
Depth2:I(SPEI_12_Sept^2),1,623,0.029188444,0.864400127
SPEI_12_Sept:treatment:Depth2,1,623,0.185220347,0.667073654
treatment:Depth2:I(SPEI_12_Sept^2),1,623,0.0863131,0.769015527
