,treatment,degree,SPEI_12_Sept.trend,SE,df,lower.CL,upper.CL
1,burned,linear,0.409218133,0.055477726,633,0.300275485,0.518160782
2,control,linear,0.192356955,0.055953652,633,0.082479722,0.302234189
3,burned,quadratic,-0.232065318,0.045313254,633,-0.321047801,-0.143082834
4,control,quadratic,-0.29243477,0.045306006,633,-0.381403021,-0.203466518
,,,,,,,
,treatment,degree,SPEI_12_Sept.trend,lower.CL,upper.CL,,
2,Control,linear,0.19,0.08,0.3,,
1,Burned,linear,0.41,0.3,0.52,,
4,Control,quadratic,-0.29,-0.38,-0.2,,
3,Burned,quadratic,-0.23,-0.32,-0.14,,
