"","numDF","denDF","F.value","p.value"
"(Intercept)",1,984,1561.12159779157,0
"SPEI_12_Sept",1,984,34.9812528203251,4.58888060883567e-09
"Site",3,29,9.53012791209753,0.000153229564651136
"Depth2",1,29,29.5527629500868,7.55007186270529e-06
"I(SPEI_12_Sept^2)",1,984,4.46948580303265,0.0347564285818529
"SPEI_12_Sept:Site",3,984,8.44836989541655,1.51687456582117e-05
"SPEI_12_Sept:Depth2",1,984,0.984112470914269,0.321429482580015
"Site:Depth2",3,29,7.066365901561,0.00104635370720241
"Site:I(SPEI_12_Sept^2)",3,984,0.497829349891783,0.683860594018677
"Depth2:I(SPEI_12_Sept^2)",1,984,0.540376389347264,0.462451939136916
"SPEI_12_Sept:Site:Depth2",3,984,0.185130192339634,0.906536073545872
"Site:Depth2:I(SPEI_12_Sept^2)",3,984,0.309553603845261,0.818498270917626
