Date,Site,Sample,Depth,Volume,Root_Weight,Notes,wt_by_vol,Station_Name,SPEI_12_May,SPEI_6_May,SPEI_12_Sept,SPEI_6_Sept,precip_annual,precip_JJAS,precip_FMAM,precip_ONDJ,precip_intraCV,sitesampledepth
2005,F,1,0-15,2650,50.6,NA,0.01909434,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 1 0-15
2005,F,1,15-30,1500,407.6,NA,0.271733333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 1 15-30
2005,F,2,0-15,2750,184.5,NA,0.067090909,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 2 0-15
2005,F,2,15-30,1750,391,NA,0.223428571,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 2 15-30
2005,F,3,0-15,2550,113.7,NA,0.044588235,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 3 0-15
2005,F,3,15-30,2000,48.4,NA,0.0242,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 3 15-30
2005,F,4,0-15,2600,66.9,NA,0.025730769,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 4 0-15
2005,F,4,15-30,2000,21.6,NA,0.0108,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 4 15-30
2005,F,5,0-15,2750,333.5,NA,0.121272727,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 5 0-15
2005,F,5,15-30,1750,103.8,NA,0.059314286,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 5 15-30
2005,F,6,0-15,2750,160.4,NA,0.058327273,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 6 0-15
2005,F,6,15-30,1600,60.3,NA,0.0376875,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 6 15-30
2005,F,7,0-15,3000,132.4,NA,0.044133333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 7 0-15
2005,F,7,15-30,2100,92.6,NA,0.044095238,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 7 15-30
2005,F,8,0-15,3000,181.3,11/29/2005,0.060433333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 8 0-15
2005,F,8,15-30,1800,175.3,NA,0.097388889,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 8 15-30
2005,F,9,0-15,2900,118.3,NA,0.040793103,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 9 0-15
2005,F,9,15-30,1800,274.2,NA,0.152333333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 9 15-30
2005,F,10,0-15,1725,66.6,NA,0.038608696,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 10 0-15
2005,F,10,15-30,2750,30.3,12/8/2005,0.011018182,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 10 15-30
2005,F,11,0-15,2900,47.9,NA,0.016517241,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 11 0-15
2005,F,11,15-30,2500,30.3,NA,0.01212,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 11 15-30
2005,F,12,0-15,2600,355.3,NA,0.136653846,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 12 0-15
2005,F,12,15-30,2600,1206.4,12/8/2005,0.464,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 12 15-30
2005,F,13,0-15,2500,178.4,NA,0.07136,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 13 0-15
2005,F,14,0-15,2500,363.2,NA,0.14528,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 14 0-15
2005,F,14,15-30,2050,624,12/8/05 done 12/1/05,0.304390244,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 14 15-30
2005,F,15,0-15,3200,417.5,NA,0.13046875,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 15 0-15
2005,F,15,15-30,2100,583.21,NA,0.277719048,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 15 15-30
2005,F,16,0-15,3000,119.2,NA,0.039733333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 16 0-15
2005,F,16,15-30,1850,283.2,NA,0.153081081,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 16 15-30
2005,F,17,0-15,2600,847.9,NA,0.326115385,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 17 0-15
2005,F,17,15-30,1850,907.1,NA,0.490324324,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 17 15-30
2005,F,18,0-15,2800,497,NA,0.1775,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 18 0-15
2005,F,18,15-30,2250,1081.85,NA,0.480822222,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 18 15-30
2005,F,19,0-15,3000,307.03,NA,0.102343333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 19 0-15
2005,F,19,15-30,1900,155.9,NA,0.082052632,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 19 15-30
2005,F,20,0-15,3100,109.5,NA,0.035322581,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 20 0-15
2005,F,20,15-30,2000,979.5,NA,0.48975,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,F 20 15-30
2005,DWB,1,0-15,2800,661.2,NA,0.236142857,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 1 0-15
2005,DWB,1,15-30,2300,533.8,NA,0.232086957,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 1 15-30
2005,DWB,2,0-15,2500,653.9,NA,0.26156,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 2 0-15
2005,DWB,2,15-30,1750,230.8,NA,0.131885714,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 2 15-30
2005,DWB,3,0-15,2750,403.4,NA,0.146690909,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 3 0-15
2005,DWB,3,15-30,2100,282.2,NA,0.134380952,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 3 15-30
2005,DWB,4,0-15,2275,106.9,NA,0.046989011,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 4 0-15
2005,DWB,4,15-30,2600,308.7,NA,0.118730769,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 4 15-30
2005,DWB,5,0-15,2600,255.2,NA,0.098153846,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 5 0-15
2005,DWB,5,15-30,1800,185.5,NA,0.103055556,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 5 15-30
2005,DWB,6,0-15,2600,895.1,NA,0.344269231,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 6 0-15
2005,DWB,6,15-30,2600,335.4,NA,0.129,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 6 15-30
2005,DWB,7,0-15,2500,674,NA,0.2696,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 7 0-15
2005,DWB,7,15-30,2400,491.6,NA,0.204833333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 7 15-30
2005,DWB,8,0-15,2600,1119.5,NA,0.430576923,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 8 0-15
2005,DWB,8,15-30,2750,696.6,NA,0.253309091,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 8 15-30
2005,DWB,9,0-15,2650,3518.4,NA,1.327698113,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 9 0-15
2005,DWB,9,15-30,2100,404.1,NA,0.192428571,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 9 15-30
2005,DWB,10,0-15,2650,739.2,NA,0.278943396,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 10 0-15
2005,DWB,10,15-30,1900,424.3,NA,0.223315789,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DWB 10 15-30
2005,DW,1,0-15,2750,286.1,NA,0.104036364,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DW 1 0-15
2005,DW,1,15-30,2300,213.5,NA,0.092826087,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DW 1 15-30
2005,DW,2,0-15,3000,357.9,NA,0.1193,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DW 2 0-15
2005,DW,2,15-30,2250,255,NA,0.113333333,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DW 2 15-30
2005,DW,3,0-15,2800,0,NA,0,Deep Well,1.410297613,1.536146561,1.546358372,0.257242728,344.0247401,158.604398,78.473,106.9473421,3.762778338,DW 3 0-15
